Disease,Symptoms,Description,Precaution_1,Precaution_2,Precaution_3,Precaution_4,Average_Severity
Gastroenteritis,"[' vomiting', ' sunken_eyes', ' dehydration', ' diarrhoea']","Gastroenteritis is an inflammation of the digestive tract, particularly the stomach, and large and small intestines. Viral and bacterial gastroenteritis are intestinal infections associated with symptoms of diarrhea , abdominal cramps, nausea , and vomiting .",stop eating solid food for while,try taking small sips of water,rest,ease back into eating,4.5
Gastroenteritis,"[' sunken_eyes', ' dehydration', ' diarrhoea']","Gastroenteritis is an inflammation of the digestive tract, particularly the stomach, and large and small intestines. Viral and bacterial gastroenteritis are intestinal infections associated with symptoms of diarrhea , abdominal cramps, nausea , and vomiting .",stop eating solid food for while,try taking small sips of water,rest,ease back into eating,4.333333333333333
Gastroenteritis,"[' vomiting', ' dehydration', ' diarrhoea']","Gastroenteritis is an inflammation of the digestive tract, particularly the stomach, and large and small intestines. Viral and bacterial gastroenteritis are intestinal infections associated with symptoms of diarrhea , abdominal cramps, nausea , and vomiting .",stop eating solid food for while,try taking small sips of water,rest,ease back into eating,5.0
Gastroenteritis,"[' vomiting', ' sunken_eyes', ' diarrhoea']","Gastroenteritis is an inflammation of the digestive tract, particularly the stomach, and large and small intestines. Viral and bacterial gastroenteritis are intestinal infections associated with symptoms of diarrhea , abdominal cramps, nausea , and vomiting .",stop eating solid food for while,try taking small sips of water,rest,ease back into eating,4.666666666666667
Bronchial Asthma,"[' fatigue', ' cough', ' high_fever', ' breathlessness', ' family_history', ' mucoid_sputum']","Bronchial asthma is a medical condition which causes the airway path of the lungs to swell and narrow. Due to this swelling, the air path produces excess mucus making it hard to breathe, which results in coughing, short breath, and wheezing. The disease is chronic and interferes with daily working.",switch to loose cloothing,take deep breaths,get away from trigger,seek help,4.666666666666667
Bronchial Asthma,"[' cough', ' high_fever', ' breathlessness', ' family_history', ' mucoid_sputum']","Bronchial asthma is a medical condition which causes the airway path of the lungs to swell and narrow. Due to this swelling, the air path produces excess mucus making it hard to breathe, which results in coughing, short breath, and wheezing. The disease is chronic and interferes with daily working.",switch to loose cloothing,take deep breaths,get away from trigger,seek help,4.8
Bronchial Asthma,"[' fatigue', ' high_fever', ' breathlessness', ' family_history', ' mucoid_sputum']","Bronchial asthma is a medical condition which causes the airway path of the lungs to swell and narrow. Due to this swelling, the air path produces excess mucus making it hard to breathe, which results in coughing, short breath, and wheezing. The disease is chronic and interferes with daily working.",switch to loose cloothing,take deep breaths,get away from trigger,seek help,4.8
Bronchial Asthma,"[' fatigue', ' cough', ' breathlessness', ' family_history', ' mucoid_sputum']","Bronchial asthma is a medical condition which causes the airway path of the lungs to swell and narrow. Due to this swelling, the air path produces excess mucus making it hard to breathe, which results in coughing, short breath, and wheezing. The disease is chronic and interferes with daily working.",switch to loose cloothing,take deep breaths,get away from trigger,seek help,4.2
Bronchial Asthma,"[' fatigue', ' cough', ' high_fever', ' family_history', ' mucoid_sputum']","Bronchial asthma is a medical condition which causes the airway path of the lungs to swell and narrow. Due to this swelling, the air path produces excess mucus making it hard to breathe, which results in coughing, short breath, and wheezing. The disease is chronic and interferes with daily working.",switch to loose cloothing,take deep breaths,get away from trigger,seek help,4.8
Bronchial Asthma,"[' fatigue', ' cough', ' high_fever', ' breathlessness', ' mucoid_sputum']","Bronchial asthma is a medical condition which causes the airway path of the lungs to swell and narrow. Due to this swelling, the air path produces excess mucus making it hard to breathe, which results in coughing, short breath, and wheezing. The disease is chronic and interferes with daily working.",switch to loose cloothing,take deep breaths,get away from trigger,seek help,4.6
Bronchial Asthma,"[' fatigue', ' cough', ' high_fever', ' breathlessness', ' family_history']","Bronchial asthma is a medical condition which causes the airway path of the lungs to swell and narrow. Due to this swelling, the air path produces excess mucus making it hard to breathe, which results in coughing, short breath, and wheezing. The disease is chronic and interferes with daily working.",switch to loose cloothing,take deep breaths,get away from trigger,seek help,4.8
Bronchial Asthma,"[' fatigue', ' cough', ' high_fever', ' breathlessness', ' family_history', ' mucoid_sputum']","Bronchial asthma is a medical condition which causes the airway path of the lungs to swell and narrow. Due to this swelling, the air path produces excess mucus making it hard to breathe, which results in coughing, short breath, and wheezing. The disease is chronic and interferes with daily working.",switch to loose cloothing,take deep breaths,get away from trigger,seek help,4.666666666666667
Bronchial Asthma,"[' cough', ' high_fever', ' breathlessness', ' family_history', ' mucoid_sputum']","Bronchial asthma is a medical condition which causes the airway path of the lungs to swell and narrow. Due to this swelling, the air path produces excess mucus making it hard to breathe, which results in coughing, short breath, and wheezing. The disease is chronic and interferes with daily working.",switch to loose cloothing,take deep breaths,get away from trigger,seek help,4.8
Bronchial Asthma,"[' fatigue', ' high_fever', ' breathlessness', ' family_history', ' mucoid_sputum']","Bronchial asthma is a medical condition which causes the airway path of the lungs to swell and narrow. Due to this swelling, the air path produces excess mucus making it hard to breathe, which results in coughing, short breath, and wheezing. The disease is chronic and interferes with daily working.",switch to loose cloothing,take deep breaths,get away from trigger,seek help,4.8
Hypertension ,"[' headache', ' chest_pain', ' dizziness', ' loss_of_balance', ' lack_of_concentration']",,meditation,salt baths,reduce stress,get proper sleep,4.2
Hypertension ,"[' chest_pain', ' dizziness', ' loss_of_balance', ' lack_of_concentration']",,meditation,salt baths,reduce stress,get proper sleep,4.5
Hypertension ,"[' headache', ' dizziness', ' loss_of_balance', ' lack_of_concentration']",,meditation,salt baths,reduce stress,get proper sleep,3.5
Hypertension ,"[' headache', ' chest_pain', ' loss_of_balance', ' lack_of_concentration']",,meditation,salt baths,reduce stress,get proper sleep,4.25
Hypertension ,"[' headache', ' chest_pain', ' dizziness', ' lack_of_concentration']",,meditation,salt baths,reduce stress,get proper sleep,4.25
Hypertension ,"[' headache', ' chest_pain', ' dizziness', ' loss_of_balance']",,meditation,salt baths,reduce stress,get proper sleep,4.5
Hypertension ,"[' headache', ' chest_pain', ' dizziness', ' loss_of_balance', ' lack_of_concentration']",,meditation,salt baths,reduce stress,get proper sleep,4.2
Hypertension ,"[' chest_pain', ' dizziness', ' loss_of_balance', ' lack_of_concentration']",,meditation,salt baths,reduce stress,get proper sleep,4.5
Hypertension ,"[' headache', ' dizziness', ' loss_of_balance', ' lack_of_concentration']",,meditation,salt baths,reduce stress,get proper sleep,3.5
Hypertension ,"[' headache', ' chest_pain', ' loss_of_balance', ' lack_of_concentration']",,meditation,salt baths,reduce stress,get proper sleep,4.25
Migraine,"[' acidity', ' indigestion', ' headache', ' blurred_and_distorted_vision', ' excessive_hunger', ' stiff_neck', ' depression', ' irritability', ' visual_disturbances']","A migraine can cause severe throbbing pain or a pulsing sensation, usually on one side of the head. It's often accompanied by nausea, vomiting, and extreme sensitivity to light and sound. Migraine attacks can last for hours to days, and the pain can be so severe that it interferes with your daily activities.",meditation,reduce stress,use poloroid glasses in sun,consult doctor,3.5555555555555554
Migraine,"[' indigestion', ' headache', ' blurred_and_distorted_vision', ' excessive_hunger', ' stiff_neck', ' depression', ' irritability', ' visual_disturbances']","A migraine can cause severe throbbing pain or a pulsing sensation, usually on one side of the head. It's often accompanied by nausea, vomiting, and extreme sensitivity to light and sound. Migraine attacks can last for hours to days, and the pain can be so severe that it interferes with your daily activities.",meditation,reduce stress,use poloroid glasses in sun,consult doctor,3.625
Migraine,"[' acidity', ' headache', ' blurred_and_distorted_vision', ' excessive_hunger', ' stiff_neck', ' depression', ' irritability', ' visual_disturbances']","A migraine can cause severe throbbing pain or a pulsing sensation, usually on one side of the head. It's often accompanied by nausea, vomiting, and extreme sensitivity to light and sound. Migraine attacks can last for hours to days, and the pain can be so severe that it interferes with your daily activities.",meditation,reduce stress,use poloroid glasses in sun,consult doctor,3.375
Migraine,"[' acidity', ' indigestion', ' blurred_and_distorted_vision', ' excessive_hunger', ' stiff_neck', ' depression', ' irritability', ' visual_disturbances']","A migraine can cause severe throbbing pain or a pulsing sensation, usually on one side of the head. It's often accompanied by nausea, vomiting, and extreme sensitivity to light and sound. Migraine attacks can last for hours to days, and the pain can be so severe that it interferes with your daily activities.",meditation,reduce stress,use poloroid glasses in sun,consult doctor,3.625
